song_title,artist,rank_t,tempo
Glad You Came,Braaheim,48,125.997
Young Folks,Jungle Jonsson,48,134.977
Apologize,Farux,48,126.109
DÁKITI,Dame Dame,47,121.975
The Boss,Coopex,47,125.992
Kiss Me,Lucas Estrada,47,107.938
Tainted Love,Thatsimo,47,126.024
That Bxtch,Taylor Watson,47,163.87
One too Many Times,JRL,47,122.023
Rather Be,Cabuizee,46,120.978
Warning / Signs,Matvey Emerson,46,121.976
Serenity,Shab,46,117.979
Moves Like Jagger,Timemachine,46,127.851
As It Was,Michael Shynes,46,104.98
Love Me Again,CPX,46,125.0
Payphone,Faruk Orman,45,125.07
Chaa Chaa Chaa (feat. HoodCelebrityy),Girll Codee,45,139.925
Lovely,Alfons,45,128.078
Best Friend (feat. Doja Cat),Saweetie,45,94.018
When Hello Means Goodbye,Alex Alexander,44,166.016
Let Her Go,LANDR,44,120.018
Sunroof,Nicky Youre,44,131.43
Mr. Saxobeat,Nito-Onna,43,123.901
Feel Your Love,Yusuf Alev,43,124.981
What's up?,LeXxìv,43,120.06
Ocean Eyes,Farux,42,125.989
Dreamer,Astelle,42,150.056
Pieces,Nippandab,42,122.076
"Hey, Soul Sister",LANDR,41,105.101
On My Way,Alex Alexander,40,96.039
Paid,Astelle,39,117.993
K Boy Bye,Astelle,39,159.87
We Know,JAM & Philly,39,112.114
Wild & Free,Nander,39,155.941
Old Times,Xtinctor,38,92.992
Falling Down,Andrew Nagy,38,123.005
Let It Go,Dame Dame,38,122.039
Why,Padé,38,186.049
Lies,Dame Dame,37,122.015
When the Sun Goes Down,Martin van Lectro,37,123.752
Over You,Myrrhe,37,98.948
Beauty And A Beat,Glamii,36,128.054
credit union,Kinrose,32,148.95
Red Flag,Pia Baris,31,126.069
Leave The Door Open,Bruno Mars,31,148.088
When You Were Young,Amero,31,125.998
drivers license,Olivia Rodrigo,29,143.874
Bad Habits,Ed Sheeran,22,126.026
Mood (feat. iann dior),"24kGoldn, iann dior",18,90.989
Blinding Lights,The Weeknd,18,171.017
Falling,Trevor Daniel,15,127.085
Calling My Phone,Lil Tjay,15,104.949
hot girl bummer,blackbear,5,129.989
WHATS POPPIN,Jack Harlow,4,145.062
MONTERO (Call Me By Your Name),Lil Nas X,4,178.818
The Git Up,Blanco Brown,3,97.984
positions,Ariana Grande,3,144.005
Aesthetic,Xilo,2,169.837
Falling for U,Peachy!,1,79.509
Write This Down (Instrumental),SoulChef,1,93.005
Put Your Records On,Ritt Momney,1,91.066
Lost,Frank Ocean,0,123.07
Shooting Stars,Bag Raiders,0,124.968
Skechers,DripReport,0,99.998
AMG,Jt5k,0,87.849
Fever - Remix,XY&O,0,120.018
Buss It,Erica Banks,0,109.997
Looking for Love,Asketa & Natan Chaim,0,120.004
She Wolf (Falling to Pieces),YES YES,0,125.03
What If,HOURS,0,126.001
Backyard Boy,Claire Rosinkranz,0,138.026
Slow Down,Coopex,0,128.048
Without You,John De Sohn,0,124.968
Right Here Waiting,Boostereo,0,115.052
