song_title,artist,rank_s,rank_t,rank_b,tempo
I'M DAT N****,Future,86.0,,,144.026
I'M ON ONE (feat. Drake),"Future, Drake",48.0,,,76.977
I'M THAT GIRL,Beyoncé,33.0,,,105.865
I'd Do Anything To Make You Smile,Jack Harlow,187.0,,,150.044
IDGAF (with blackbear),"BoyWithUke, blackbear",74.0,,,97.953
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,,86.0,,149.995
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",2.0,,,150.087
INFERNO,Sub Urban,,71.0,,127.883
INSUPERABILE,Rkomi,180.0,,,122.035
In Da Club,50 Cent,77.0,,,90.051
In My Head,Lil Tjay,30.0,,,143.049
In The Stars,Benson Boone,54.0,,,78.007
In Your Eyes,The Weeknd,,79.0,,100.021
In a Minute,Lil Baby,,,43.0,
Industry Baby,Lil Nas X and Jack Harlow,,,16.0,
Infinity,Jaymes Young,11.0,,,121.963
Insane,Post Malone,97.0,,,82.546
Intentions (feat. Quavo),Justin Bieber,,77.0,,147.986
Intro,Drake,61.0,,,125.501
Iris,The Goo Goo Dolls,124.0,,,155.925
Is There Someone Else?,The Weeknd,11.0,,,134.951
It'll Be Okay,Shawn Mendes,55.0,,,78.262
I’m Tired (with Zendaya) - Bonus Track,"Labrinth, Zendaya",29.0,,,131.721
JGL,"La Adictiva Banda San José de Mesillas, Luis R Conriquez",173.0,,,112.852
Jalebi Baby (Tesher x Jason Derulo),Tesher,,73.0,,93.059
Jiggle Jiggle,Duke & Jones,,81.0,,99.992
Jimmy Cooks,Drake featuring 21 Savage,,,33.0,
Jimmy Cooks (feat. 21 Savage),Drake,,92.0,,165.921
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",7.0,,,165.921
Jingle Bell Rock,Bobby Helms,,,86.0,
Jocelyn Flores,XXXTENTACION,7.0,,,134.021
Jordan,Ryan Castro,53.0,,,179.923
Just A Cloud Away,Pharrell Williams,115.0,,,112.555
Just The Two of Us,Kauai45,,67.0,,81.672
Just a Cloud Away,Pharrell Williams,165.0,,,112.56
Just the Way You Are,Bruno Mars,133.0,,,109.021
K Boy Bye,Astelle,,39.0,,159.87
KEEP IT BURNIN (feat. Kanye West),"Future, Kanye West",85.0,,,87.395
Keep Driving,Harry Styles,19.0,,,164.948
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",33.0,,,94.009
Kiss Me,Lucas Estrada,,47.0,,107.938
Kiss Me More,Doja Cat featuring SZA,,,90.0,
Kiss Me More (feat. SZA),Doja Cat,,82.0,,110.968
Kiss Me More (feat. SZA),"Doja Cat, SZA",3.0,,,110.97
Knife Talk,Drake featuring 21 Savage and Project Pat,,,60.0,
Knife Talk (with 21 Savage ft. Project Pat),"Drake, 21 Savage, Project Pat",10.0,,,145.887
LA CANCIÓN,"J Balvin, Bad Bunny",17.0,,,176.089
LA FAMA (with The Weeknd),"ROSALÍA, The Weeknd",32.0,,,136.016
LA INOCENTE,"Mora, Feid",121.0,,,91.911
LOKERA,"Rauw Alejandro, Lyanno, Brray",95.0,,,102.019
LOOSE CHANGE,Brent Faiyaz,178.0,,,84.975
LOVE DIVE,IVE,51.0,,,117.941
LOVE YOU BETTER,Future,131.0,,,75.494
La Bachata,Manuel Turizo,13.0,,,124.98
La Corriente,"Bad Bunny, Tony Dize",17.0,,,196.12
La Llevo Al Cielo (Ft. Ñengo Flow),"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",53.0,,,170.023
La Loto,"TINI, Becky G, Anitta",157.0,,,90.009
La Santa,"Bad Bunny, Daddy Yankee",14.0,,,93.037
La Zona,Bad Bunny,60.0,,,93.992
Last Last,Burna Boy,93.0,,,87.925
Last Night Lonely,Jon Pardi,,,95.0,
Late Night Talking,Harry Styles,2.0,93.0,25.0,114.996
Late To Da Party (F*CK BET) (feat. YoungBoy Never Broke Again),"Lil Nas X, YoungBoy Never Broke Again",86.0,,,149.956
Later Bitches,The Prince Karma,,49.0,,121.116
Layla,"DJ Robin, Schürze",61.0,,,140.082
Leap of Faith,Alex Alexander,,51.0,,169.893
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",52.0,,,119.976
Leave The Door Open,Bruno Mars,,31.0,,148.088
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",5.0,,,148.088
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,sped up nightcore,,58.0,,114.269
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",7.0,,,101.058
Lemon Tree,Post Malone,71.0,,,116.106
Lemonade,Internet Money,,76.0,,140.04
Less Than Zero,The Weeknd,23.0,,,142.981
Let Her Go,LANDR,,44.0,,120.018
Let It Go,Dame Dame,,38.0,,122.039
Levitating,Dua Lipa,52.0,,42.0,103.014
Levitating (feat. DaBaby),Dua Lipa,,85.0,,102.977
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",4.0,,,102.977
Ley Seca,"Jhay Cortez, Anuel AA",44.0,,,105.059
Liability,Drake,96.0,,,105.013
Lies,Dame Dame,,37.0,,122.015
Life Goes On,Oliver Tree,15.0,80.0,,79.982
Life Is Good (feat. Drake),Future,,77.0,,142.037
Light Switch,Charlie Puth,19.0,79.0,,184.009
Like I Love Country Music,Kane Brown,,,85.0,
Little Freak,Harry Styles,8.0,,,141.96
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",12.0,,,169.888
Locked out of Heaven,Bruno Mars,111.0,,,143.986
Long Road,HotBlock Jmoe,,52.0,,162.039
Looking for Love,Asketa & Natan Chaim,,0.0,,120.004
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,44.0,,,171.355
Lost,Frank Ocean,50.0,0.0,,123.061
Lost in the Fire (feat. The Weeknd),"Gesaffelstein, The Weeknd",12.0,,,100.966
Lost on You,sad girls,,53.0,,121.796
Love Grows (Where My Rosemary Goes),Edison Lighthouse,112.0,,,108.625
Love Lost,"Mac Miller, The Temper Trap",175.0,,,109.835
Love Me Again,CPX,,46.0,,125.0
Love Nwantiti (Ah Ah Ah),CKay,,,55.0,
Love Of My Life,Harry Styles,15.0,,,118.057
Love Yourself,Justin Bieber,62.0,,,100.418
Love/Hate Letter To Alcohol (with Fleet Foxes),"Post Malone, Fleet Foxes",115.0,,,108.007
Lovely,Alfons,,45.0,,128.078
Lucid Dreams,Juice WRLD,3.0,,,83.903
L’enfer,Stromae,113.0,,,177.595
MAMIII,"Becky G, KAROL G",5.0,87.0,,93.991
MANIAC,Stray Kids,39.0,,,89.925
MASSAGING ME,Future,180.0,,,145.007
MIDDLE OF THE NIGHT,Elley Duhé,14.0,91.0,,185.727
MONEY,LISA,5.0,79.0,,140.026
MONTERO (Call Me By Your Name),Lil Nas X,1.0,4.0,,178.781
MORE,j-hope,22.0,,,97.031
MOVE (feat. Grace Jones & Tems),"Beyoncé, Grace Jones, Tems",96.0,,,118.028
Mal Feito - Ao Vivo,"Hugo & Guilherme, Marília Mendonça",72.0,,,123.942
Malvada,Zé Felipe,58.0,,,134.947
Malvadão 3,"Xamã, Gustah, Neo Beats",33.0,,,133.133
