song_title,artist,rank_s,rank_t,rank_b,tempo
CACHORRINHAS,Luísa Sonza,109,,,98.119
The 30th,Billie Eilish,64,,,82.987
Ai Preto,"L7NNON, DJ Biel do Furduncinho, Bianca",140,,,129.947
Hold My Hand,Lady Gaga,110,,,148.009
Out of Time,The Weeknd,10,,,93.057
Eazy,"The Game, Kanye West",35,,,82.393
Is There Someone Else?,The Weeknd,11,,,134.951
Entre Nosotros (Remix) [con Nicki Nicole],"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole",53,,,170.106
It'll Be Okay,Shawn Mendes,55,,,78.262
Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",5,,,118.091
Gasoline,The Weeknd,13,,,123.006
How Do I Make You Love Me?,The Weeknd,14,,,121.006
Less Than Zero,The Weeknd,23,,,142.981
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",8,,,82.03
P power (feat. Drake),"Gunna, Drake",81,,,119.251
The Family Madrigal,"Stephanie Beatriz, Olga Merediz, Encanto - Cast",87,,,141.391
Take My Breath,The Weeknd,22,,,121.02
Vai Lá Em Casa Hoje,"George Henrique & Rodrigo, Marília Mendonça",66,,,157.628
What Else Can I Do?,"Diane Guerrero, Stephanie Beatriz",101,,,119.974
Dos Oruguitas,Sebastian Yatra,104,,,93.788
Bloqueado - Ao Vivo,Gusttavo Lima,106,,,129.092
Salimo de Noche,"Tiago PZK, Trueno",72,,,83.803
Acapulco,Jason Derulo,90,,,122.062
Love Grows (Where My Rosemary Goes),Edison Lighthouse,112,,,108.625
L’enfer,Stromae,113,,,177.595
Best Friends,The Weeknd,26,,,90.0
Esqueça-Me Se For Capaz,"Marília Mendonça, Maiara & Maraisa",67,,,122.013
"Here We Go… Again (feat. Tyler, the Creator)","The Weeknd, Tyler, The Creator",25,,,134.943
Every Summertime,NIKI,124,,,78.996
Rolling in the Deep,Adele,36,,,104.948
Sobrio,Maluma,41,,,177.998
Pandora,"DJ Matt D, Menor MC, MC GP, Vulgo FK",129,,,124.553
Peru,"Fireboy DML, Ed Sheeran",89,,,108.015
Sky,Playboi Carti,113,,,139.98
ELEVEN,IVE,103,,,119.978
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",5,,,136.008
DANCE CRIP,Trueno,79,,,106.024
Ley Seca,"Jhay Cortez, Anuel AA",44,,,105.059
I WANNA BE YOUR SLAVE,Måneskin,8,,,132.507
Toma Toma Vapo Vapo,"Zé Felipe, Mc Danny",75,,,164.055
Praise God,Kanye West,16,,,118.029
Cúrame,Rauw Alejandro,35,,,102.101
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",15,,,122.98
2055,Sleepy Hallow,31,,,80.511
you broke me first,Tate McRae,13,,,124.148
favorite crime,Olivia Rodrigo,11,,,172.929
Shallow,"Lady Gaga, Bradley Cooper",3,,,95.799
AM Remix,"Nio Garcia, J Balvin, Bad Bunny",14,,,172.031
All of Me,John Legend,110,,,119.93
The Feels,TWICE,57,,,120.044
OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones, Charli XCX, Saweetie",42,,,123.97
Enemy - From the series Arcane League of Legends,"Imagine Dragons, Arcane, League of Legends",171,,,77.029
Bored,Billie Eilish,51,,,119.959
Qué Más Pues?,"J Balvin, Maria Becerra",9,,,102.014
Arcade,Duncan Laurence,23,,,72.017
Heartbreak Anniversary,Giveon,8,,,89.087
When I’m Gone (with Katy Perry),"Alesso, Katy Perry",135,,,125.034
family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",30,,,134.093
Happier Than Ever - Edit,Billie Eilish,70,,,161.74
Memories,Maroon 5,2,,,91.05
Ella - Remix,"Boza, Lunay, Lenny Tavárez, Juhn, Beéle",188,,,180.062
